Subject,Conf_Rat,avg_dev,num_weights,BDev,Mem
5ed062703c9248144a334cb4,Low,-0.222222222,9,0.472222222,Exp
5e065bba5a342503b3f3e0bc,Med,-1.166666667,6,0.354166667,Exp
5eaa6339b2e5311e8e020396,Low,-0.4375,16,0.4453125,Exp
5ede8a971588b310e81f852f,Low,-1.466666667,15,0.316666667,Exp
5e2039ccf0b71e34ef9c60a2,High,1.764705882,17,0.720588235,Exp
5e8be450affef10d24343a7f,Low,-0.705882353,17,0.411764706,Exp
5d4a41890e604c00011ade8b,Med,0.4,15,0.55,Exp
5d344bd3b0f315001a122275,Med,0.466666667,15,0.558333333,Exp
5df162b6c76aa6080c4c7694,Low,-0.8,5,0.4,Exp
546f8a9cfdf99b4a593414ea,High,0,17,0.5,Exp
5a21b2e1e473b80001baaa09,Med,0.2,15,0.525,Exp
5c2d187569ceff00011417de,Low,-0.5,5,0.4375,Exp
5687d85e369319000c269c55,High,0,17,0.5,Exp
5eac6f1aa8b3bb0dcfebeba9,Low,-1.1875,13,0.3515625,Exp
5eb635754bbde6534e62c05e,Med,0.416666667,12,0.552083333,Exp
5bfd81fb2feab400014d9060,Med,1.294117647,17,0.661764706,Exp
5dd1964987c1fd2082c4d88e,High,0.352941176,17,0.544117647,Exp
5d7af4ee784e52001b9b02da,Med,-0.5,15,0.4375,Exp
5e8fa34befd9542a66b02feb,Med,0.777777778,9,0.597222222,Exp
5e820eb36551aa02fd72e1dc,High,0.666666667,12,0.583333333,Exp
5de01c13c3a15e0a03332169,High,0.3125,16,0.5390625,Exp
5ea5d2b8d2bc3308f7af06d5,High,0.5625,16,0.5703125,Exp
59c6305e6a287600011c388d,High,0.647058824,17,0.580882353,Exp
57a761c22fc0d400012c9656,High,-1.235294118,17,0.345588235,Exp
5d83d2f1ae7a8b00017ec6a9,High,-0.235294118,17,0.470588235,Exp
56e130548b1c33000a388671,High,0.363636364,11,0.545454545,Exp
5c0f1cf4f3027300014b606f,Med,0.066666667,15,0.508333333,Exp
5c92cda483617d0010bef1b8,Med,-0.4375,16,0.4453125,Exp
5d558ebe886e3f0020e90fce,Med,0.538461538,13,0.567307692,Exp
5e83d36b6d7daf107aea7a7c,Med,-0.916666667,12,0.385416667,Exp
5efba90ef81cbe13a3d7df40,Low,0.117647059,17,0.514705882,Exp
5ec5880e02a64c5b4102561f,High,-0.117647059,17,0.485294118,Exp
5588d358fdf99b304ee5674f,Med,0.833333333,12,0.604166667,Exp
5d5c265773125e001af7f4cf,Med,-0.5625,16,0.4296875,Exp
5ad9cc7ddfcfcb0001e667f3,Low,0.8,16,0.6,Exp
5eca36ad460a2b19ab37697b,Low,-0.647058824,17,0.419117647,Exp
5e9ca054511e7a1c5c5640e5,Low,0.588235294,17,0.573529412,Exp
5e911cfaefd95445d5a6c890,Med,0.5,16,0.5625,Exp
5800e50de3536e00012840f4,High,-0.142857143,12,0.482142857,Exp
5e649034feba20212bb729db,Med,-0.363636364,10,0.454545455,Exp
5b16ceb0bdf4e10001630f58,Med,0.941176471,17,0.617647059,Exp
5e1882adfd7db4158998b5f0,Low,0.071428571,14,0.508928571,Exp
5b954f10754b700001f06bf0,Med,-0.545454545,10,0.431818182,Exp
57bb6878eb28030001f7ea94,High,0.076923077,13,0.509615385,Exp
5ef165863c30cb15b9c83613,Med,0.9,11,0.6125,Exp
5e4a1730c94447480594cea4,Med,-1.357142857,14,0.330357143,Exp
5de7f5d27c17f804d007da90,Low,0.882352941,17,0.610294118,Exp
5e2861fb5c6297029148b635,Low,-0.285714286,7,0.464285714,Exp
5d93c9c410165c0015326102,Med,-0.9,10,0.3875,Exp
5c47d714a8703f0001b6e780,Med,0.923076923,13,0.615384615,Exp
5d0e9d1bf403080016411381,Med,0.142857143,7,0.517857143,Exp
5e0e66730db8925a55fffbd5,Med,-0.888888889,9,0.388888889,Exp
5e2e9c7388448746ab366b7f,Med,0.25,8,0.53125,Exp
5d6394518df2870001a74b42,Low,0.666666667,6,0.583333333,Exp
5eaf02446c144d5e3a4d4562,Low,0.416666667,12,0.552083333,Exp
5a8891155292b800012316a8,Low,-0.428571429,7,0.446428571,Exp
5eddaaaeb2a4d6ab5be32a02,Med,-0.230769231,11,0.471153846,Exp
5e8421d0df483e18852ff25e,Med,0,9,0.5,Exp
5b4d31673d01bd0001ec447e,Low,-0.307692308,12,0.461538462,Exp
5eab89102e910016bb0b5414,Low,-1.384615385,13,0.326923077,Exp
5c003b5c2c8cc1000138e25f,Low,-0.375,16,0.453125,Exp
5eb960c022781303ab1ca871,High,-0.588235294,17,0.426470588,Exp
