Subject,Type,Timepoint,Rating,BRat
5c0f1cf4f3027300014b606f,Self,Current,4,0.749885845
5c92cda483617d0010bef1b8,Self,Current,3,0.5
5d558ebe886e3f0020e90fce,Self,Current,2,0.250114155
5e83d36b6d7daf107aea7a7c,Self,Current,1,0.000228311
5efba90ef81cbe13a3d7df40,Self,Current,3,0.5
5ec5880e02a64c5b4102561f,Self,Current,2,0.250114155
5588d358fdf99b304ee5674f,Self,Current,2,0.250114155
5d5c265773125e001af7f4cf,Self,Current,2,0.250114155
5ad9cc7ddfcfcb0001e667f3,Self,Current,1,0.000228311
5eca36ad460a2b19ab37697b,Self,Current,1,0.000228311
5e9ca054511e7a1c5c5640e5,Self,Current,5,0.999771689
5e911cfaefd95445d5a6c890,Self,Current,5,0.999771689
5bf5ab78f35e0c000101b657,Self,Current,3,0.5
5800e50de3536e00012840f4,Self,Current,1,0.000228311
5e649034feba20212bb729db,Self,Current,3,0.5
5b16ceb0bdf4e10001630f58,Self,Current,4,0.749885845
5e1882adfd7db4158998b5f0,Self,Current,2,0.250114155
5b954f10754b700001f06bf0,Self,Current,4,0.749885845
57bb6878eb28030001f7ea94,Self,Current,4,0.749885845
5ef165863c30cb15b9c83613,Self,Current,4,0.749885845
5e4a1730c94447480594cea4,Self,Current,3,0.5
5de7f5d27c17f804d007da90,Self,Current,5,0.999771689
5e2861fb5c6297029148b635,Self,Current,3,0.5
5d93c9c410165c0015326102,Self,Current,2,0.250114155
5c47d714a8703f0001b6e780,Self,Current,3,0.5
5d0e9d1bf403080016411381,Self,Current,2,0.250114155
5e0e66730db8925a55fffbd5,Self,Current,2,0.250114155
5e2e9c7388448746ab366b7f,Self,Current,3,0.5
5d6394518df2870001a74b42,Self,Current,5,0.999771689
5eaf02446c144d5e3a4d4562,Self,Current,3,0.5
5a8891155292b800012316a8,Self,Current,4,0.749885845
5eaba4a0bc118a184ac2cd2e,Self,Current,1,0.000228311
5eddaaaeb2a4d6ab5be32a02,Self,Current,3,0.5
5e8421d0df483e18852ff25e,Self,Current,2,0.250114155
5b4d31673d01bd0001ec447e,Self,Current,4,0.749885845
5eab89102e910016bb0b5414,Self,Current,3,0.5
5c003b5c2c8cc1000138e25f,Self,Current,3,0.5
5eb960c022781303ab1ca871,Self,Current,3,0.5
55f63fc432af740012171ef6,Self,Current,3,0.5
58066bf52d948b00014ba876,Self,Current,3,0.5
5e9732d6bafec41daaf8fc30,Self,Current,1,0.000228311
5cdcd4ca9f75db0001411660,Self,Current,2,0.250114155
5c1c137b0739430001693cf5,Self,Current,2,0.250114155
550bb70bfdf99b6853dab45e,Self,Current,2,0.250114155
5decaac46e09cf3792805023,Self,Current,3,0.5
5c454961f5e3bc00014ed20b,Self,Current,2,0.250114155
5dce29700ad506063969a4a5,Self,Current,2,0.250114155
5ee1327109ae2e4f8e01bd60,Self,Current,3,0.5
576017836442fa0006cfb7cd,Self,Current,1,0.000228311
5ec19dd52abb6a5ce5b9fe05,Self,Current,5,0.999771689
5d8927d21571f4001c8ce125,Self,Current,4,0.749885845
5dde8fba82f458000c8c7c75,Self,Current,5,0.999771689
5dec1c522911273179e44dbe,Self,Current,3,0.5
5ed57ec8141d24118731f1bc,Self,Current,4,0.749885845
5e3b9b820014e23ad71813c8,Self,Current,5,0.999771689
59ad6f1e09709e00013c2ba5,Self,Current,4,0.749885845
5d5eeb06d8bcde00162d73f1,Self,Current,3,0.5
5ee644b8a00c6d0621d20793,Self,Current,3,0.5
5e44399336d11f01939401eb,Self,Current,1,0.000228311
5ea08654ea87f206588b6b50,Self,Current,2,0.250114155
5de481c2a49875052fcf6dee,Self,Current,2,0.250114155
