Subject,Scope,Threat,BThreat
5ec12ad1759b78000a4f9965,Self,3,0.5
5e552a5e45774651f60e62b3,Self,2,0.250085616
5dc1c27fb3e5c212018d9e33,Self,2,0.250085616
5ec2f967fa87231315e8b60c,Self,3,0.5
5e5b0bcc7a584430eb8bea65,Self,5,0.999828767
5c971acab18d000001e1afd7,Self,3,0.5
5e815773285d3883ba2fbbcf,Self,3,0.5
5eb1bc2b9d57e52f90d13214,Self,2,0.250085616
5b5c8d4e10aec90001ed4bee,Self,1,0.000171233
5d63179aa3b94d0001da4bb6,Self,3,0.5
5c742339e621f900163f4543,Self,3,0.5
583b397f54686200010f1d20,Self,5,0.999828767
59dc458f77860e000151240e,Self,4,0.749914384
5b76ce43bfc4cb0001f2c4c3,Self,4,0.749914384
5e80d8569d1bdf03449b0c2e,Self,2,0.250085616
5e175705cfe8dc000b559793,Self,2,0.250085616
5ddae85b393bd3a44d7cbaaa,Self,3,0.5
5e1797da928b15062260e30e,Self,3,0.5
5d612ae16512d700159face7,Self,2,0.250085616
55ddb84550a1f7000b90d65a,Self,3,0.5
5e27868c5cbbcc0b3599574b,Self,2,0.250085616
5c871f91e769f8000178afc8,Self,2,0.250085616
5d461284d9b0690001720f6d,Self,2,0.250085616
5e83abb4e0a2e40fd565226d,Self,2,0.250085616
5c28113978fad50001932f58,Self,3,0.5
5e78bf026d9a62443b9d5b74,Self,3,0.5
5dba287f9653e80734e335d7,Self,5,0.999828767
58f10189738cac000116d3ab,Self,2,0.250085616
