Subject,TP,Question,Rating
5e83d36b6d7daf107aea7a7c,Now,DecreasedInPersonVisits,0.749828061
5efba90ef81cbe13a3d7df40,Now,DecreasedInPersonVisits,0.250171939
5ec5880e02a64c5b4102561f,Now,DecreasedInPersonVisits,0.000343879
5588d358fdf99b304ee5674f,Now,DecreasedInPersonVisits,0.000343879
5d5c265773125e001af7f4cf,Now,DecreasedInPersonVisits,0.000343879
5ad9cc7ddfcfcb0001e667f3,Now,DecreasedInPersonVisits,0.000343879
5eca36ad460a2b19ab37697b,Now,DecreasedInPersonVisits,0.000343879
5e9ca054511e7a1c5c5640e5,Now,DecreasedInPersonVisits,0.000343879
5e911cfaefd95445d5a6c890,Now,DecreasedInPersonVisits,0.5
5bf5ab78f35e0c000101b657,Now,DecreasedInPersonVisits,NA
5800e50de3536e00012840f4,Now,DecreasedInPersonVisits,0.000343879
5e649034feba20212bb729db,Now,DecreasedInPersonVisits,0.250171939
5b16ceb0bdf4e10001630f58,Now,DecreasedInPersonVisits,0.250171939
5e1882adfd7db4158998b5f0,Now,DecreasedInPersonVisits,0.250171939
5b954f10754b700001f06bf0,Now,DecreasedInPersonVisits,0.5
57bb6878eb28030001f7ea94,Now,DecreasedInPersonVisits,0.749828061
5ef165863c30cb15b9c83613,Now,DecreasedInPersonVisits,0.5
5e4a1730c94447480594cea4,Now,DecreasedInPersonVisits,0.5
5de7f5d27c17f804d007da90,Now,DecreasedInPersonVisits,0.999656121
5e2861fb5c6297029148b635,Now,DecreasedInPersonVisits,0.5
5d93c9c410165c0015326102,Now,DecreasedInPersonVisits,0.250171939
5c47d714a8703f0001b6e780,Now,DecreasedInPersonVisits,0.5
5d0e9d1bf403080016411381,Now,DecreasedInPersonVisits,0.000343879
5e0e66730db8925a55fffbd5,Now,DecreasedInPersonVisits,0.000343879
5e2e9c7388448746ab366b7f,Now,DecreasedInPersonVisits,0.5
5d6394518df2870001a74b42,Now,DecreasedInPersonVisits,0.000343879
5eaf02446c144d5e3a4d4562,Now,DecreasedInPersonVisits,0.5
5a8891155292b800012316a8,Now,DecreasedInPersonVisits,0.000343879
5eaba4a0bc118a184ac2cd2e,Now,DecreasedInPersonVisits,0.5
5eddaaaeb2a4d6ab5be32a02,Now,DecreasedInPersonVisits,0.000343879
5e8421d0df483e18852ff25e,Now,DecreasedInPersonVisits,0.000343879
5b4d31673d01bd0001ec447e,Now,DecreasedInPersonVisits,0.749828061
5eab89102e910016bb0b5414,Now,DecreasedInPersonVisits,0.250171939
5c003b5c2c8cc1000138e25f,Now,DecreasedInPersonVisits,0.250171939
5eb960c022781303ab1ca871,Now,DecreasedInPersonVisits,0.5
55f63fc432af740012171ef6,Now,DecreasedInPersonVisits,0.250171939
58066bf52d948b00014ba876,Now,DecreasedInPersonVisits,0.5
5e9732d6bafec41daaf8fc30,Now,DecreasedInPersonVisits,0.000343879
5cdcd4ca9f75db0001411660,Now,DecreasedInPersonVisits,0.000343879
5c1c137b0739430001693cf5,Now,DecreasedInPersonVisits,0.000343879
550bb70bfdf99b6853dab45e,Now,DecreasedInPersonVisits,0.000343879
5decaac46e09cf3792805023,Now,DecreasedInPersonVisits,0.250171939
5c454961f5e3bc00014ed20b,Now,DecreasedInPersonVisits,0.250171939
5dce29700ad506063969a4a5,Now,DecreasedInPersonVisits,0.000343879
5ee1327109ae2e4f8e01bd60,Now,DecreasedInPersonVisits,0.250171939
576017836442fa0006cfb7cd,Now,DecreasedInPersonVisits,0.000343879
5ec19dd52abb6a5ce5b9fe05,Now,DecreasedInPersonVisits,0.749828061
5d8927d21571f4001c8ce125,Now,DecreasedInPersonVisits,0.250171939
5dde8fba82f458000c8c7c75,Now,DecreasedInPersonVisits,0.5
5dec1c522911273179e44dbe,Now,DecreasedInPersonVisits,0.5
5ed57ec8141d24118731f1bc,Now,DecreasedInPersonVisits,0.250171939
5e3b9b820014e23ad71813c8,Now,DecreasedInPersonVisits,0.749828061
59ad6f1e09709e00013c2ba5,Now,DecreasedInPersonVisits,0.5
